iter	RMSE
143	7.642143143
144	7.617676775
145	7.594029755
146	7.574737608
147	7.550151188
148	7.529692699
149	7.506016808
150	7.481784275
151	7.461943017
152	7.440818013
153	7.420581398
154	7.397470006
155	7.37716195
156	7.355819312
157	7.338793265
158	7.317167469
159	7.294610985
160	7.275477434
161	7.255201495
162	7.235845908
163	7.216157772
164	7.198630165
165	7.181188002
166	7.163885303
167	7.144640135
168	7.128665785
169	7.111860068
170	7.094309478
171	7.076726403
172	7.060861779
173	7.043871239
174	7.026338631
175	7.00910163
176	6.991939463
177	6.974562441
178	6.958710999
179	6.941705954
180	6.926400504
181	6.91057009
182	6.893692579
183	6.879189898
184	6.867082774
185	6.852130371
186	6.838340563
187	6.822793582
188	6.808154979
189	6.795920149
190	6.781670161
191	6.768903456
192	6.755282709
193	6.740585222
194	6.726607571
195	6.71183052
196	6.698099104
197	6.684801465
198	6.672739655
199	6.658892292
200	6.647368651
201	6.634151409
202	6.622294787
203	6.609036082
204	6.598682024
205	6.587469755
206	6.574216413
207	6.563317876
208	6.550934041
209	6.538866847
210	6.529027073
211	6.520513026
212	6.508145048
213	6.496771037
214	6.484637017
215	6.474699203
216	6.464671706
217	6.452976782
218	6.444220604
219	6.433177184
220	6.423637929
221	6.414272309
222	6.403548151
223	6.394896011
224	6.386243648
225	6.378435956
226	6.368821717
227	6.358257935
228	6.348661504
229	6.338208296
230	6.330161611
231	6.321577141
232	6.313083995
233	6.302667324
234	6.293454705
235	6.284732279
236	6.278124188
237	6.268110161
238	6.258881105
239	6.249800399
240	6.24182085
241	6.23278803
242	6.224243745
243	6.217873092
244	6.212108287
245	6.205085077
246	6.196358372
247	6.188834852
248	6.180015905
249	6.175524872
250	6.167247344
251	6.159439882
252	6.150819047
253	6.144426323
254	6.136958289
255	6.130063356
256	6.122063181
257	6.115386568
258	6.108538545
259	6.101464294
260	6.093826282
261	6.086171955
262	6.078888148
263	6.071056963
264	6.065472844
265	6.059879855
266	6.05473498
267	6.047360212
268	6.039447015
269	6.034302087
270	6.028797508
271	6.023317852
272	6.017503477
273	6.011538312
274	6.006479128
275	6.001107062
276	5.995584425
277	5.98933988
278	5.982475766
279	5.979153077
280	5.973560846
281	5.965456631
282	5.959463242
283	5.953224433
284	5.947521114
285	5.942581069
286	5.935721193
287	5.930507527
288	5.924479927
289	5.918457956
290	5.911737637
291	5.906891141
292	5.900830136
293	5.896876949
294	5.892011958
295	5.888939281
296	5.882745769
297	5.877060183
298	5.874074094
299	5.86996145
300	5.865231413
301	5.859825705
302	5.854352101
303	5.849903571
304	5.845971562
305	5.841433645
306	5.837685368
307	5.832106652
308	5.827109144
309	5.823432812
310	5.819721362
311	5.8150081
312	5.811404809
313	5.807140062
314	5.802907301
315	5.798162429
316	5.793096665
317	5.788914261
318	5.785351051
319	5.781819464
320	5.777421148
321	5.772794888
322	5.768858667
323	5.765375829
324	5.761337117
325	5.757436044
326	5.753652649
327	5.750945346
328	5.746833494
329	5.743235268
330	5.739836756
331	5.736990194
332	5.733132425
333	5.729389831
334	5.724771839
335	5.721243385
336	5.717543995
337	5.713681245
338	5.710203809
339	5.707666312
340	5.705838006
341	5.702802592
342	5.699115737
343	5.694668128
344	5.690517001
345	5.686873692
346	5.68311288
347	5.680103178
348	5.677854455
349	5.674956671
350	5.672328502
351	5.667974838
352	5.663695475
353	5.660432009
354	5.657443741
355	5.654723433
356	5.652278042
357	5.64994573
358	5.645542594
359	5.642724284
360	5.639584279
361	5.636882918
362	5.634641607
363	5.631109886
364	5.62775034
365	5.625200877
366	5.623070271
367	5.619721886
368	5.617547873
369	5.615125768
370	5.61286275
371	5.61051516
372	5.607809825
373	5.604874006
374	5.602328041
375	5.599747139
376	5.596790589
377	5.594447408
378	5.591459081
379	5.588221525
380	5.585485572
381	5.582165109
382	5.579115502
383	5.576702982
384	5.57423547
385	5.571583305
386	5.56996046
387	5.567093825
388	5.564581086
389	5.562174692
390	5.560043321
391	5.557357533
392	5.554667888
393	5.552740155
394	5.54988652
395	5.547349254
396	5.54451555
397	5.542263938
398	5.540050095
399	5.53823217
400	5.535250065
401	5.533565257
402	5.531889465
403	5.529750271
404	5.528061408
405	5.525845981
406	5.524464884
407	5.521221566
408	5.519415325
409	5.517041048
410	5.513685861
411	5.511656192
412	5.51030463
413	5.508290588
414	5.50593786
415	5.50424058
416	5.50246359
417	5.499645183
418	5.497660883
419	5.495518739
420	5.494027766
421	5.491464904
422	5.489381323
423	5.486920627
424	5.485178016
425	5.482907422
426	5.480861221
427	5.479005666
428	5.477156797
429	5.475148101
430	5.473241079
431	5.472086596
432	5.46983101
433	5.467740379
434	5.465705081
435	5.463248458
436	5.461473473
437	5.45991045
438	5.458792613
439	5.45624299
440	5.454249559
441	5.452555782
442	5.450942659
443	5.449186166
444	5.447452602
445	5.445081445
446	5.442382225
447	5.440774307
448	5.438083289
449	5.436321605
450	5.434344884
451	5.432774466
452	5.430600346
453	5.42896155
454	5.427467723
455	5.425663479
456	5.425255176
457	5.424282008
458	5.422722422
459	5.42049852
460	5.418751168
461	5.418214718
462	5.41677085
463	5.414786623
464	5.412504544
465	5.410552631
466	5.40885226
467	5.407069083
468	5.405679541
469	5.404185303
470	5.403065038
471	5.401202813
472	5.399372795
473	5.397238888
474	5.395499448
475	5.393635582
476	5.392275399
477	5.39105311
478	5.389428425
479	5.387909577
480	5.386617105
481	5.385041117
482	5.38385052
483	5.382794396
484	5.381567187
485	5.380060909
486	5.378781336
487	5.377171537
488	5.376632142
489	5.375243921
490	5.373661994
491	5.372482594
492	5.371126468
493	5.369462273
494	5.367614425
495	5.366551332
496	5.365294864
497	5.364539397
498	5.363368607
499	5.361945438
500	5.360606707
501	5.359433857
502	5.358670623
503	5.357066056
504	5.355795936
505	5.354337043
506	5.353007835
507	5.351509341
508	5.350645761
509	5.349773912
510	5.34862526
511	5.347194386
512	5.345468739
513	5.34440306
514	5.343171871
515	5.341908433
516	5.340641295
517	5.33924576
518	5.337921637
519	5.336917069
520	5.335513714
521	5.334343964
522	5.333394168
523	5.332138406
524	5.331054584
525	5.329772285
526	5.328656733
527	5.327810786
528	5.325375667
529	5.324299235
530	5.322811232
531	5.322071464
532	5.320972179
533	5.320430538
534	5.319407619
535	5.318056979
536	5.316741784
537	5.315789673
538	5.314282405
539	5.312977655
540	5.311983201
541	5.310667919
542	5.309849344
543	5.309027936
544	5.308205351
545	5.306661246
546	5.305625186
547	5.304551606
548	5.303243214
549	5.302311751
550	5.301239055
551	5.300191847
552	5.29956454
553	5.2984056
554	5.297058334
555	5.29636851
556	5.295414682
557	5.294613937
558	5.293728892
559	5.292524643
560	5.29127995
561	5.290652696
562	5.289328036
563	5.288532743
564	5.287488574
565	5.286291861
566	5.285326197
567	5.284726092
568	5.283836893
569	5.282427505
570	5.281920457
571	5.281057132
572	5.280115032
573	5.278964786
574	5.277452183
575	5.276820731
576	5.275522398
577	5.275031234
578	5.274514285
579	5.273308602
580	5.272121401
581	5.271000762
582	5.270145959
583	5.269196487
584	5.268109128
585	5.267504389
586	5.266068696
587	5.265340469
588	5.264395019
589	5.263828802
590	5.263036219
591	5.262097616
592	5.261253264
593	5.260238443
594	5.258815838
595	5.258445228
596	5.257123245
597	5.256437115
598	5.255488316
599	5.254202109
600	5.253090802
601	5.251650484
602	5.250894607
603	5.250069542
604	5.249092365
605	5.247726142
606	5.247124565
607	5.246355299
608	5.245187796
609	5.243647869
610	5.242563442
611	5.241783157
612	5.24134768
613	5.24087394
614	5.240112149
615	5.239291246
616	5.238398434
617	5.236433402
618	5.23543101
619	5.23453276
620	5.233466062
621	5.232852368
622	5.231596303
623	5.231004817
624	5.230184158
625	5.229519099
626	5.22883863
627	5.227777931
628	5.226990594
629	5.226073981
630	5.225236661
631	5.224474
632	5.222842936
633	5.221837624
634	5.22082222
635	5.220001773
636	5.219453899
637	5.218381032
638	5.217373424
639	5.216749657
640	5.215775417
641	5.215004101
642	5.214559054
643	5.21394264
644	5.213274121
645	5.212584978
646	5.211973054
647	5.21100603
648	5.210276348
649	5.209663013
650	5.208986745
651	5.20770235
652	5.207076852
653	5.20622646
654	5.205386832
655	5.204961838
656	5.204123009
657	5.203458836
658	5.2022752
659	5.201782357
660	5.200980442
661	5.20048382
662	5.19980487
663	5.198947652
664	5.198328146
665	5.197403527
666	5.196457611
667	5.195878895
668	5.195024401
669	5.193764403
670	5.193094573
671	5.192170813
672	5.191765201
673	5.190988254
674	5.1905411
675	5.189750741
676	5.188666486
677	5.187837611
678	5.187244217
679	5.18667418
680	5.186095097
681	5.184934569
682	5.184530251
683	5.183799435
684	5.183052076
685	5.18262018
686	5.181957018
687	5.181391067
688	5.180549107
689	5.180086018
690	5.179642588
691	5.178541765
692	5.177757793
693	5.177309568
694	5.176583971
695	5.175577003
696	5.175212727
697	5.174790325
698	5.174159668
699	5.173030331
700	5.172561589
701	5.171704824
702	5.171027587
703	5.170253856
704	5.169816915
705	5.169279776
706	5.168307744
707	5.167562375
708	5.166855537
709	5.166143328
710	5.16540589
711	5.164908906
712	5.164311793
713	5.163630712
714	5.162602342
715	5.16164083
716	5.160933963
717	5.160375417
718	5.159818368
719	5.159234394
720	5.15834253
721	5.157441011
722	5.157026381
723	5.156504278
724	5.155960905
725	5.15555716
726	5.155408745
727	5.154363757
728	5.153814882
729	5.153431977
730	5.152645236
731	5.152022634
732	5.151314201
733	5.150779889
734	5.150202597
735	5.149775513
736	5.149151335
737	5.147817838
738	5.147360435
739	5.146939601
740	5.145413226
741	5.144962633
742	5.144374131
743	5.143872345
744	5.143499858
745	5.143213235
746	5.142753447
747	5.142192534
748	5.141522833
749	5.140764354
750	5.140405097
751	5.140121998
752	5.139501927
753	5.139200762
754	5.138785187
755	5.137630505
756	5.136679498
757	5.136193031
758	5.135047284
759	5.134395993
760	5.134100282
761	5.133638177
762	5.132822965
763	5.132205706
764	5.131790801
765	5.131125978
766	5.130849581
767	5.130189653
768	5.129641843
769	5.129232167
770	5.128517407
771	5.12740875
772	5.127112404
773	5.126129175
774	5.125070693
775	5.124402096
776	5.123464419
777	5.123017297
778	5.121838869
779	5.120326735
780	5.119526384
781	5.118165557
782	5.117170214
783	5.116848148
784	5.116405557
785	5.115734416
786	5.115266887
787	5.114812357
788	5.113798638
789	5.113182952
790	5.112576663
791	5.112104808
792	5.111168431
793	5.110803774
794	5.11027116
795	5.109811424
796	5.108494026
797	5.107072715
798	5.106604186
799	5.106078609
800	5.105580743
801	5.105292894
802	5.104194608
803	5.103526473
804	5.102927654
805	5.102428774
806	5.1016805
807	5.101179835
808	5.100622479
809	5.09955052
810	5.099016529
811	5.098232794
812	5.097929777
813	5.097531084
814	5.096633916
815	5.095467016
816	5.09530409
817	5.094226404
818	5.093992814
819	5.092925429
820	5.0925156
821	5.091310507
822	5.090745337
823	5.090219589
824	5.089902014
825	5.089473989
826	5.08823571
827	5.087675586
828	5.087295898
829	5.086897355
830	5.085686178
831	5.084649186
832	5.08380832
833	5.083263598
834	5.082006699
835	5.081422911
836	5.080907037
837	5.080445577
838	5.07954663
839	5.078533057
840	5.078229941
841	5.077570553
842	5.076970486
843	5.07656928
844	5.076025728
845	5.075436509
846	5.075075018
847	5.074393665
848	5.074076984
849	5.073658243
850	5.072919383
851	5.072566318
852	5.071835105
853	5.070754902
854	5.070218914
855	5.069801626
856	5.069271192
857	5.068889644
858	5.068204941
859	5.067484643
860	5.066965489
861	5.066671072
862	5.06570792
863	5.064525608
864	5.064250011
865	5.063471487
866	5.063043869
867	5.062528464
868	5.061848719
869	5.061460701
870	5.061015973
871	5.060826541
872	5.060147384
873	5.059730321
874	5.059250821
875	5.058406606
876	5.057870829
877	5.056654474
878	5.056547773
879	5.056105291
880	5.055633361
881	5.055547688
882	5.0542256
883	5.053263201
884	5.052724152
885	5.052435978
886	5.051686011
887	5.051412334
888	5.051310138
889	5.050903867
890	5.050445933
891	5.049944829
892	5.049135526
893	5.048656752
894	5.048194081
895	5.047930311
896	5.0474881
897	5.046777752
898	5.045851741
899	5.045813375
900	5.045383394
901	5.044869439
902	5.044525834
903	5.04359782
904	5.043175755
905	5.042777558
906	5.042448924
907	5.041514099
908	5.041239999
909	5.040839796
910	5.040523271
911	5.040069024
912	5.039724158
913	5.038979225
914	5.038298107
915	5.037939935
916	5.037601174
917	5.037300107
918	5.036567886
919	5.036238808
920	5.035628296
921	5.034919057
922	5.034867286
923	5.034528603
924	5.034019589
925	5.033671601
926	5.033279971
927	5.032970582
928	5.032712684
929	5.032001282
930	5.031781823
931	5.031476422
932	5.030978554
933	5.030737698
934	5.030696687
935	5.030657303
936	5.030028075
937	5.029302226
938	5.02888057
939	5.028477565
940	5.028002221
941	5.027555697
942	5.027312335
943	5.026826314
944	5.026469174
945	5.02619886
946	5.02586539
947	5.025665303
948	5.025147982
949	5.024409332
950	5.023696594
951	5.023414766
952	5.022550892
953	5.021893602
954	5.021631573
955	5.021028869
956	5.02075838
957	5.020635191
958	5.020264048
959	5.020066382
960	5.019777506
961	5.019399252
962	5.019047443
963	5.01876279
964	5.018505091
965	5.018180526
966	5.017816776
967	5.017781619
968	5.017748714
969	5.017033275
970	5.01636691
971	5.016096789
972	5.015609707
973	5.015501942
974	5.014949817
975	5.014459644
976	5.014233798
977	5.013326612
978	5.012650033
979	5.011947263
980	5.010953051
981	5.0106493
982	5.01006272
983	5.009967765
984	5.009574612
985	5.009543243
986	5.009115522
987	5.008596371
988	5.008284421
989	5.007914872
990	5.007427536
991	5.006414385
992	5.006393084
993	5.005961755
994	5.005513765
995	5.005160143
996	5.004479669
997	5.004271853
998	5.003650954
999	5.003382713
